Nom du monstre;Rôle;Rôle secondaire;Meneur;Niveau;Source;Catégorie;exp;Race;Origine;Mot-clé (humanoïde, élémentaire, féerique…);Lieux de prédilection
Doppelganger furtif;Franc-tireur;Normal;;3;Bestiaire Fantastique 1;Doppelganger;150;Humanoïde;Naturelle;Métamorphe;
Pillard orque;Franc-tireur;Normal;;3;Bestiaire Fantastique 1;Orque;150;Humanoïde;Naturelle;;
Rat-garou;Franc-tireur;Normal;;3;Bestiaire Fantastique 1;Lycanthrope;150;Humanoïde;Naturelle;Métamorphe;
Fantassin hobgobelin;Soldat;Sbire;;3;Bestiaire Fantastique 1;Gobelin;38;Humanoïde;Naturelle;;
Garde humain;Soldat;Normal;;3;Bestiaire Fantastique 1;Humain;150;Humanoïde;Naturelle;;
Protecteur de fer;Soldat;Normal;;3;Bestiaire Fantastique 1;Homoncule;150;Animé;Naturelle;Créature artificielle, Homoncule;
Soldat hobgobelin;Soldat;Normal;;3;Bestiaire Fantastique 1;Gobelin;150;Humanoïde;Naturelle;;
Squelette;Soldat;Normal;;3;Bestiaire Fantastique 1;Squelette;150;Animé;Naturelle;Mort-vivant;
Arbalétrier nain;Artilleur;Normal;;4;Bestiaire Fantastique 1;Nain;175;Humanoïde;Naturelle;;
Bombardeur magmatique;Artilleur;Normal;;4;Bestiaire Fantastique 1;Bête magmatique;175;Humanoïde;Élémentaire;Feu, Terre;
Macchab corrupteur;Artilleur;Normal;;4;Bestiaire Fantastique 1;Zombie;175;Animé;Naturelle;Mort-vivant;
Mage humain;Artilleur;Normal;;4;Bestiaire Fantastique 1;Humain;175;Humanoïde;Naturelle;;
Berserker humain;Brute;Normal;;4;Bestiaire Fantastique 1;Humain;175;Humanoïde;Naturelle;;
Berserker orque;Brute;Normal;;4;Bestiaire Fantastique 1;Orque;175;Humanoïde;Naturelle;;
Griffe magmatique;Brute;Normal;;4;Bestiaire Fantastique 1;Bête magmatique;175;Créature magique;Élémentaire;Feu, Terre;
Kruthik adulte;Brute;Normal;;4;Bestiaire Fantastique 1;Kruthik;175;Bête;Naturelle;Reptile;
Trouffion orque;Brute;Sbire;;4;Bestiaire Fantastique 1;Orque;44;Humanoïde;Naturelle;;
Cauteleux kobold;Chasseur;Normal;;4;Bestiaire Fantastique 1;Kobold;175;Humanoïde;Naturelle;;
Étrangleur des cavernes;Chasseur;Normal;;4;Bestiaire Fantastique 1;Étrangleur;175;Humanoïde;;;
Jeune dragon noir;Chasseur;Solo;;4;Bestiaire Fantastique 1;Dragon;875;Créature magique;Naturelle;Aquatique, Dragon;
Spectre;Chasseur;Normal;;4;Bestiaire Fantastique 1;Spectre;17;Humanoïde;Ombreuse;Mort-vivant;
Nécrophage fossoyeur;Contrôleur;Normal;;4;Bestiaire Fantastique 1;Nécrophage;175;Humanoïde;Naturelle;Mort-vivant;
Sous-chef gobelin;Contrôleur;Élite;Oui;4;Bestiaire Fantastique 1;Gobelin;350;Humanoïde;Naturelle;;
Araignée saute-mort;Franc-tireur;Normal;;4;Bestiaire Fantastique 1;Araignée;175;Bête;Naturelle;Araignée;
Chasseur vertécaille;Franc-tireur;Normal;;4;Bestiaire Fantastique 1;Homme-lézard;175;Humanoïde;Naturelle;Reptile;
Panthère féerique;Franc-tireur;Normal;;4;Bestiaire Fantastique 1;Panthère;175;Bête;Féérique;;
Rampant obscur;Franc-tireur;Normal;;4;Bestiaire Fantastique 1;Obscur;175;Humanoïde;Ombreuse;;
Zombie ailé;Franc-tireur;Normal;;4;Bestiaire Fantastique 1;Zombie;175;Animé;Naturelle;Mort-vivant;
Crocodile broyeur;Soldat;Normal;;4;Bestiaire Fantastique 1;Crocodile;175;Bête;Naturelle;Reptile;
Gardien crochu ettercap;Soldat;Normal;;4;Bestiaire Fantastique 1;Ettercap;175;Humanoïde;Naturelle;Araignée;
Homme d'armes fantomatique;Soldat;Normal;;4;Bestiaire Fantastique 1;Fantôme;175;Humanoïde;Ombreuse;Mort-vivant;
Soldat forgelier;Soldat;Normal;;4;Bestiaire Fantastique 1;Forgelier;175;Humanoïde;Naturelle;Créature artificielle vivante;
Maître de chasse gnoll;Artilleur;Normal;;5;Bestiaire Fantastique 1;Gnoll;200;Humanoïde;Naturelle;;
Squelette embrasé;Artilleur;Normal;;5;Bestiaire Fantastique 1;Squelette;200;Animé;Naturelle;Mort-vivant;
Cube gélatineux;Brute;Élite;;5;Bestiaire Fantastique 1;Vase;400;Bête;Naturelle;Aveugle, Vase;
Drake enragé;Brute;Normal;;5;Bestiaire Fantastique 1;Drake;200;Bête;Naturelle;Reptile, Monture;
Hommes d'armes gobelours;Brute;Normal;;5;Bestiaire Fantastique 1;Gobelin;200;Humanoïde;Naturelle;;
Squelette d'esquilles;Brute;Normal;;5;Bestiaire Fantastique 1;Squelette;200;Animé;Naturelle;Mort-vivant;
Vipère crécelle;Brute;Normal;;5;Bestiaire Fantastique 1;Serpent;200;Bête;Naturelle;Reptile;
Âme-en-peine;Chasseur;Normal;;5;Bestiaire Fantastique 1;Âme-en-peine;200;Humanoïde;Ombreuse;Mort-vivant;
Sarbacanier vertécaille;Chasseur;Normal;;5;Bestiaire Fantastique 1;Homme-lézard;200;Humanoïde;Naturelle;Reptile;
Têtard slaad;Chasseur;Normal;;5;Bestiaire Fantastique 1;Slaad;200;Bête;Élémentaire;;
Horreur grimpante;Contrôleur;Normal;;5;Bestiaire Fantastique 1;Horreur grimpante;200;Humanoïde;Naturelle;Plante;
Œil de gruumsh orque;Contrôleur;Normal;Oui;5;Bestiaire Fantastique 1;Orque;200;Humanoïde;Naturelle;;
Scarabée empêtreur;Contrôleur;Normal;;5;Bestiaire Fantastique 1;Scarabée;200;Bête;Naturelle;;
Tisseur ettercap;Contrôleur;Normal;;5;Bestiaire Fantastique 1;Ettercap;200;Humanoïde;Naturelle;Araignée;
Charpe-chair vampirien;Franc-tireur;Sbire;;5;Bestiaire Fantastique 1;Vampire;50;Humanoïde;Naturelle;Mort-vivant;
Chauve-souris de feu;Franc-tireur;Normal;;5;Bestiaire Fantastique 1;Chauve-souris;200;Bête;Élémentaire;Feu;
Hippogriffe;Franc-tireur;Normal;;5;Bestiaire Fantastique 1;Griffon;200;Bête;Naturelle;Monture;
Jeune dragon vert;Franc-tireur;Solo;;5;Bestiaire Fantastique 1;Dragon;1000;Créature magique;Naturelle;Dragon;
Loup sanguinaire;Franc-tireur;Normal;;5;Bestiaire Fantastique 1;Loup;200;Bête;Naturelle;Monture;
Nécrophage;Franc-tireur;Normal;;5;Bestiaire Fantastique 1;Nécrophage;200;Humanoïde;Naturelle;Mort-vivant;
Commandant hobgobelin;Soldat;Normal;Oui;5;Bestiaire Fantastique 1;Gobelin;200;Humanoïde;Naturelle;;
Goule;Soldat;Normal;;5;Bestiaire Fantastique 1;Goule;200;Humanoïde;Naturelle;Mort-vivant;
Hippogriffe auguste;Soldat;Normal;;5;Bestiaire Fantastique 1;Griffon;200;Bête;Naturelle;Monture;
Marteleur nain;Soldat;Normal;;5;Bestiaire Fantastique 1;Nain;200;Humanoïde;Naturelle;;
Soldat drakéide;Soldat;Normal;;5;Bestiaire Fantastique 1;Drakéide;200;Humanoïde;Naturelle;;
Garde sahuagin;Artilleur;Sbire;;6;Bestiaire Fantastique 1;Sahuagin;63;Humanoïde;Naturelle;Aquatique;
Hérétique tieffelin;Artilleur;Normal;;6;Bestiaire Fantastique 1;Tieffelin;250;Humanoïde;Naturelle;;
Jeune dragon bleu;Artilleur;Solo;;6;Bestiaire Fantastique 1;Dragon;1250;Créature magique;Naturelle;Dragon;
Cogneur noirécaille;Brute;Normal;;6;Bestiaire Fantastique 1;Homme-lézard;250;Humanoïde;Naturelle;Reptile;
Évistro (démon du carnage);Brute;Normal;;6;Bestiaire Fantastique 1;Démon;250;Créature magique;Élémentaire;Démon;
Maraudeur gnoll;Brute;Normal;;6;Bestiaire Fantastique 1;Gnoll;250;Humanoïde;Naturelle;;
Ours des cavernes;Brute;Élite;;6;Bestiaire Fantastique 1;Ours;500;Bête;Naturelle;;
Sanglier sanguinaire;Brute;Normal;;6;Bestiaire Fantastique 1;Sanglier;250;Bête;Naturelle;Monture;
Étrangleur gobelours;Chasseur;Normal;;6;Bestiaire Fantastique 1;Gobelin;250;Humanoïde;Naturelle;;
Noirelame shadar-kai;Chasseur;Normal;;6;Bestiaire Fantastique 1;Shadar-kai;250;Humanoïde;Ombreuse;;
Vagabond halfelin;Chasseur;Normal;;6;Bestiaire Fantastique 1;Halfelin;250;Humanoïde;Naturelle;;
Âme-en-peine démente;Contrôleur;Normal;;6;Bestiaire Fantastique 1;Âme-en-peine;250;Humanoïde;Ombreuse;Mort-vivant;
Harpie;Contrôleur;Normal;;6;Bestiaire Fantastique 1;Harpie;250;Humanoïde;Féérique;;
Mystique palustre vertécaille;Contrôleur;Normal;Oui;6;Bestiaire Fantastique 1;Homme-lézard;250;Humanoïde;Naturelle;Reptile;
Seigneur de ruche kruthik;Contrôleur;Élite;Oui;6;Bestiaire Fantastique 1;Kruthik;500;Bête;Naturelle;Reptile;
Cobra de fer;Franc-tireur;Normal;;6;Bestiaire Fantastique 1;Homoncule;250;Animé;Naturelle;Créature artificielle, Homoncule;
Diable à piquants (spinagon);Franc-tireur;Normal;;6;Bestiaire Fantastique 1;Diable;250;Humanoïde;Immortelle;Diable;
Griffeur gnoll;Franc-tireur;Normal;;6;Bestiaire Fantastique 1;Gnoll;250;Humanoïde;Naturelle;;
Molosse d'ombre;Franc-tireur;Normal;;6;Bestiaire Fantastique 1;Molosse;250;Créature magique;Ombreuse;;
Porte-chaîne shadar-kai;Franc-tireur;Normal;;6;Bestiaire Fantastique 1;Shadar-kai;250;Humanoïde;Ombreuse;;
Capitaine forgelier;Soldat;Normal;Oui;6;Bestiaire Fantastique 1;Forgelier;250;Humanoïde;Naturelle;Créature artificielle vivante;
Chasseur longue-dent;Soldat;Normal;;6;Bestiaire Fantastique 1;Féral;250;Humanoïde;Naturelle;;
Diable légionnaire, fantassin;Soldat;Sbire;;6;Bestiaire Fantastique 1;Diable;63;Humanoïde;Immortelle;Diable;
Mutilateur troglodyte;Soldat;Normal;;6;Bestiaire Fantastique 1;Troglodyte;250;Humanoïde;Naturelle;Reptile;
Pillard sahuagin;Soldat;Normal;;6;Bestiaire Fantastique 1;Sahuagin;250;Humanoïde;Naturelle;Aquatique;
Zombie transi;Soldat;Normal;;6;Bestiaire Fantastique 1;Zombie;250;Animé;Naturelle;Froid, Mort-vivant;
Empaleur troglodyte;Artilleur;Normal;;7;Bestiaire Fantastique 1;Troglodyte;300;Humanoïde;Naturelle;Reptile;
Horreur grimpante magefiélon;Artilleur;Normal;;7;Bestiaire Fantastique 1;Horreur grimpante;300;Humanoïde;Naturelle;Plante;
Grick;Brute;Normal;;7;Bestiaire Fantastique 1;Grick;300;Bête;Aberrante;;
Griffon;Brute;Normal;;7;Bestiaire Fantastique 1;Griffon;300;Bête;Naturelle;Monture;
Hyène démoniaque ricanante;Brute;Normal;;7;Bestiaire Fantastique 1;Hyène;300;Bête;Élémentaire;;
Initié langue-de-serpent (humain);Brute;Sbire;;7;Bestiaire Fantastique 1;Yuan-ti;75;Humanoïde;Naturelle;;
Laquais humain;Brute;Sbire;;7;Bestiaire Fantastique 1;Humain;75;Humanoïde;Naturelle;;
Molosse satanique;Brute;Normal;;7;Bestiaire Fantastique 1;Molosse;300;Bête;Élémentaire;Feu;
Sanguinolaire orque;Brute;Élite;;7;Bestiaire Fantastique 1;Orque;600;Humanoïde;Naturelle;;
Glaive noir tieffelin;Chasseur;Normal;;7;Bestiaire Fantastique 1;Tieffelin;300;Humanoïde;Naturelle;;
Strige sanguinaire;Chasseur;Normal;;7;Bestiaire Fantastique 1;Strige;300;Bête;Naturelle;;
Charognard rampant;Contrôleur;Normal;;7;Bestiaire Fantastique 1;Charognard rampant;300;Bête;Aberrante;;
Guenaude hurlante;Contrôleur;Normal;;7;Bestiaire Fantastique 1;Guenaude;300;Humanoïde;Féérique;;
Sorcière shadar-kai;Contrôleur;Normal;;7;Bestiaire Fantastique 1;Shadar-kai;300;Humanoïde;Ombreuse;;
Acolyte pourpre (humain);Franc-tireur;Normal;;7;Bestiaire Fantastique 1;Orcus;300;Humanoïde;Naturelle;;
Coureur satyre;Franc-tireur;Normal;;7;Bestiaire Fantastique 1;Satyre;300;Humanoïde;Féérique;;
Traqueur griffe-effilée;Franc-tireur;Normal;;7;Bestiaire Fantastique 1;Féral;300;Humanoïde;Naturelle;;
Béhémot porte-masse;Soldat;Normal;;7;Bestiaire Fantastique 1;Béhémot;300;Bête;Naturelle;Reptile;
Chevalier féerique éladrin;Soldat;Normal;Oui;7;Bestiaire Fantastique 1;Éladrin;300;Humanoïde;Féérique;;
Grell;Soldat;Élite;;7;Bestiaire Fantastique 1;Grell;600;Créature magique;Aberrante;Aveugle;
Jeune dragon rouge;Soldat;Solo;;7;Bestiaire Fantastique 1;Dragon;1500;Créature magique;Naturelle;Dragon;
Nuée d'araignées filsang;Soldat;Normal;;7;Bestiaire Fantastique 1;Araignée;300;Bête;Naturelle;Araignée, Nuée;
Otyugh;Soldat;Normal;;7;Bestiaire Fantastique 1;Otyugh;300;Bête;Naturelle;;
Crâne flamboyant;Artilleur;Normal;;8;Bestiaire Fantastique 1;Crâne flamboyant;350;Animé;Naturelle;Mort-vivant;
Galeb duhr briseterre;Artilleur;Normal;;8;Bestiaire Fantastique 1;Galeb duhr;350;Humanoïde;Élémentaire;Terre;
Prêtre sahuagin;Artilleur;Normal;;8;Bestiaire Fantastique 1;Sahuagin;350;Humanoïde;Naturelle;Aquatique;
Barlgura;Brute;Normal;;8;Bestiaire Fantastique 1;Démon;350;Bête;Élémentaire;Démon;
Bretteur infernal cambion;Brute;Normal;;8;Bestiaire Fantastique 1;Cambion;350;Humanoïde;Immortelle;Diable;
Chef orque;Brute;Élite;Oui;8;Bestiaire Fantastique 1;Orque;700;Humanoïde;Naturelle;;
Fléau démoniaque gnoll;Brute;Normal;Oui;8;Bestiaire Fantastique 1;Gnoll;350;Humanoïde;Naturelle;;
Gardien momie;Brute;Normal;;8;Bestiaire Fantastique 1;Momie;350;Humanoïde;Naturelle;Mort-vivant;
Homme d'armes langue-de-serpent (humain);Brute;Normal;;8;Bestiaire Fantastique 1;Yuan-ti;350;Humanoïde;Naturelle;;
Loup-garou;Brute;Normal;;8;Bestiaire Fantastique 1;Lycanthrope;350;Humanoïde;Naturelle;Métamorphe;
Mastodonte zombie;Brute;Normal;;8;Bestiaire Fantastique 1;Zombie;350;Animé;Naturelle;Mort-vivant;
Ours-hibou;Brute;Élite;;8;Bestiaire Fantastique 1;Ours-hibou;700;Bête;Féérique;;
Sauvage ogre;Brute;Normal;;8;Bestiaire Fantastique 1;Ogre;350;Humanoïde;Naturelle;;
Assassin doppelganger;Chasseur;Normal;;8;Bestiaire Fantastique 1;Doppelganger;350;Humanoïde;Naturelle;Métamorphe;
Hante-piège;Chasseur;Normal;;8;Bestiaire Fantastique 1;Fantôme;350;Humanoïde;Ombreuse;Mort-vivant;
Flûtiste satyre;Contrôleur;Normal;Oui;8;Bestiaire Fantastique 1;Satyre;350;Humanoïde;Féérique;;
Griffu répugnard;Contrôleur;Normal;;8;Bestiaire Fantastique 1;Répugnard;350;Humanoïde;Aberrante;;
Imprécateur troglodyte;Contrôleur;Normal;Oui;8;Bestiaire Fantastique 1;Troglodyte;350;Humanoïde;Naturelle;Reptile;
Incantateur du crépuscule éladrin;Contrôleur;Normal;;8;Bestiaire Fantastique 1;Éladrin;350;Humanoïde;Féérique;;
Rôdeur de nuit oni;Contrôleur;Élite;;8;Bestiaire Fantastique 1;Oni;700;Humanoïde;Naturelle;;
Franc-tireur ogre;Franc-tireur;Normal;;8;Bestiaire Fantastique 1;Ogre;350;Humanoïde;Naturelle;;
Mutilateur répugnard;Franc-tireur;Normal;;8;Bestiaire Fantastique 1;Répugnard;350;Humanoïde;Aberrante;;
Ange vaillant;Soldat;Normal;;8;Bestiaire Fantastique 1;Ange;350;Humanoïde;Immortelle;Ange;
Homme d'armes hobgobelin;Soldat;Sbire;;8;Bestiaire Fantastique 1;Gobelin;88;Humanoïde;Naturelle;;
Homme d'armes shadar-kai;Soldat;Normal;;8;Bestiaire Fantastique 1;Shadar-kai;350;Humanoïde;Ombreuse;;
Main de baine hobgobeline;Soldat;Élite;;8;Bestiaire Fantastique 1;Gobelin;700;Humanoïde;Naturelle;;
Nuée de scarabées putréfiants;Soldat;Normal;;8;Bestiaire Fantastique 1;Scarabée;350;Bête;Ombreuse;Nuée;
Destrakhan;Artilleur;Normal;;9;Bestiaire Fantastique 1;Destrakhan;400;Créature magique;Aberrante;Aveugle;
Serpent de feu;Artilleur;Normal;;9;Bestiaire Fantastique 1;Serpent;400;Bête;Élémentaire;Feu, Reptile;
Béhémot hérissé;Brute;Normal;;9;Bestiaire Fantastique 1;Béhémot;400;Bête;Naturelle;Reptile;
Dragon blanc adulte;Brute;Solo;;9;Bestiaire Fantastique 1;Dragon;2000;Créature magique;Naturelle;Dragon;
Grick dominant;Brute;Normal;Oui;9;Bestiaire Fantastique 1;Grick;400;Bête;Aberrante;;
Hommes d'armes orque;Brute;Sbire;;9;Bestiaire Fantastique 1;Orque;100;Humanoïde;Naturelle;;
Tertre errant;Brute;Normal;;9;Bestiaire Fantastique 1;Tertre errant;400;Animé;Naturelle;Plante;
Troll;Brute;Normal;;9;Bestiaire Fantastique 1;Troll;400;Humanoïde;Naturelle;;
Worg;Brute;Normal;;9;Bestiaire Fantastique 1;Worg;400;Créature magique;Naturelle;;
Assassin langue-de-serpent (humain);Chasseur;Normal;;9;Bestiaire Fantastique 1;Yuan-ti;400;Humanoïde;Naturelle;Métamorphe;
Gargouille;Chasseur;Normal;;9;Bestiaire Fantastique 1;Gargouille;400;Humanoïde;Élémentaire;Terre;
Panthère spectrale;Chasseur;Normal;;9;Bestiaire Fantastique 1;Panthère;400;Bête;Ombreuse;;
Nécroprêtre d'orcus (humain);Contrôleur;Normal;Oui;9;Bestiaire Fantastique 1;Orcus;400;Humanoïde;Naturelle;;
Succube;Contrôleur;Normal;;9;Bestiaire Fantastique 1;Diable;400;Humanoïde;Immortelle;Diable, Métamorphe;
Bête éclipsante;Franc-tireur;Normal;;9;Bestiaire Fantastique 1;Bête éclipsante;400;Créature magique;Féérique;;
Bulette;Franc-tireur;Élite;;9;Bestiaire Fantastique 1;Bulette;800;Bête;Naturelle;;
Coureur prestelin;Franc-tireur;Normal;;9;Bestiaire Fantastique 1;Prestelin;400;Humanoïde;Féérique;;
Dryade;Franc-tireur;Normal;;9;Bestiaire Fantastique 1;Dryade;400;Humanoïde;Féérique;Plante;
Licorne;Franc-tireur;Normal;Oui;9;Bestiaire Fantastique 1;Licorne;400;Créature magique;Féérique;;
Berserker répugnard;Soldat;Normal;;9;Bestiaire Fantastique 1;Répugnard;400;Humanoïde;Aberrante;;
Boa broyeur;Soldat;Normal;;9;Bestiaire Fantastique 1;Serpent;400;Bête;Naturelle;Reptile;
Harpie brûle-sang;Soldat;Normal;;9;Bestiaire Fantastique 1;Harpie;400;Humanoïde;Féérique;;
Nécrophage guerroyeur;Soldat;Normal;;9;Bestiaire Fantastique 1;Nécrophage;400;Humanoïde;Naturelle;Mort-vivant;
Basilic œil-de-venin;Artilleur;Normal;;10;Bestiaire Fantastique 1;Basilic;500;Bête;Naturelle;Reptile;
Seigneur des crânes;Artilleur;Normal;Oui;10;Bestiaire Fantastique 1;Seigneur des crânes;500;Humanoïde;Naturelle;Mort-vivant;
Araignée-sabres;Brute;Normal;;10;Bestiaire Fantastique 1;Araignée;500;Bête;Naturelle;Araignée, Monture;
Baron sahuagin;Brute;Élite;Oui;10;Bestiaire Fantastique 1;Sahuagin;1000;Humanoïde;Naturelle;Aquatique;
Gardien squelette sépulcral;Brute;Normal;;10;Bestiaire Fantastique 1;Squelette;500;Animé;Naturelle;Mort-vivant;
Mage oni;Chasseur;Élite;;10;Bestiaire Fantastique 1;Oni;1000;Humanoïde;Naturelle;;
Archère méduse (femelle);Contrôleur;Élite;;10;Bestiaire Fantastique 1;Méduse;1000;Humanoïde;Naturelle;;
Babélien;Contrôleur;Normal;;10;Bestiaire Fantastique 1;Bête babélienne;500;Créature magique;Aberrante;;
Berbalang;Franc-tireur;Solo;;10;Bestiaire Fantastique 1;Berbalang;2500;Humanoïde;Immortelle;;
Faucheur magmatique;Franc-tireur;Normal;;10;Bestiaire Fantastique 1;Bête magmatique;500;Créature magique;Élémentaire;Feu, Terre;
Guenaude des marais;Franc-tireur;Normal;;10;Bestiaire Fantastique 1;Guenaude;500;Humanoïde;Féérique;Aquatique;
Manticore;Franc-tireur;Élite;;10;Bestiaire Fantastique 1;Manticore;1000;Créature magique;Naturelle;Monture;
Traqueur obscur;Franc-tireur;Normal;;10;Bestiaire Fantastique 1;Obscur;500;Humanoïde;Ombreuse;;
Vouivre;Franc-tireur;Normal;;10;Bestiaire Fantastique 1;Vouivre;500;Bête;Naturelle;Monture, Reptile;
Chuul;Soldat;Normal;;10;Bestiaire Fantastique 1;Chuul;500;Créature magique;Aberrante;Aquatique;
Crocodile fangefée;Soldat;Élite;;10;Bestiaire Fantastique 1;Crocodile;1000;Bête;Féérique;Reptile;
Destrier céleste;Soldat;Normal;;10;Bestiaire Fantastique 1;Cheval;500;Bête;Immortelle;Monture;
Gladiateur drakéide;Soldat;Normal;;10;Bestiaire Fantastique 1;Drakéide;500;Humanoïde;Naturelle;;
Hommes d'armes minotaure;Soldat;Normal;;10;Bestiaire Fantastique 1;Minotaure;500;Humanoïde;Naturelle;;
Maraudeur ettin;Soldat;Élite;;10;Bestiaire Fantastique 1;Ettin;1000;Humanoïde;Naturelle;Géant;
Traque-sang vampirien;Soldat;Sbire;;10;Bestiaire Fantastique 1;Vampire;125;Humanoïde;Naturelle;Mort-vivant;
Devin répugnard;Artilleur;Normal;Oui;11;Bestiaire Fantastique 1;Répugnard;600;Humanoïde;Aberrante;;
