name;description;alteration;property;power;special;source;rarity;critical;implement_group;location;weapon_groups;armor_categories;object_levels
Amulette de détermination;Votre esprit est protégé lorsque vous portez ce talisman en fer froid.;Réflexes, Vigueur et Volonté;Vous bénéficiez d'un bonus d'objet de +2 aux jets de sauvegarde contre les effets accompagnés des mots-clés charme, illusion ou sommeil.;"";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";2, 7, 12, 17, 22, 27
Amulette de double chance;La chance appelle la chance quand vous portez cette amulette.;Réflexes, Vigueur et Volonté;Lorsque vous réussissez un coup critique, vous effectuez un jet de sauvegarde contre un effet qu'une sauvegarde est en mesure d'annuler. Vous bénéficiez d'un bonus d'objet à ce jet de sauvegarde égal au bonus d'altération de l'amulette.;"";"";Le Comptoir de l'Aventure 2;uncommon;"";"";Cou;"";"";2, 7, 12, 17, 22, 27
Amulette de fausse vie;Cette amulette bleu nuit au centre rouge sombre améliore vos défenses et peut être activée pour vous donner des points de vie temporaires.;Réflexes, Vigueur et Volonté;"";Quotidien : action mineure. Utilisez ce pouvoir lorsque vous êtes en péril pour gagner des points de vie temporaires égaux à votre valeur de récupération.;"";Manuel des Joueurs 1;uncommon;"";"";Cou;"";"";9, 14, 19, 24, 29
Amulette de fermeté;Que le tourment soit corporel ou mental, ce collier de mithral vous offre une seconde chance de vous en débarrasser.;Réflexes, Vigueur et Volonté;"";Quotidien: aucune. Utilisez ce pouvoir lorsque vous ratez un jet de sauvegarde. Refaites ce jet de sauvegarde, en conservant le nouveau résultat même s'il est pire que le premier.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";2, 7, 12, 17, 22, 27
Amulette de garde;Poli comme un miroir, ce disque de bronze reflète la lumière sur ceux qui vous entourent, les protégeant contre le danger.;Réflexes, Vigueur et Volonté;"";Quotidien : interruption immédiate. Déclencheur : un allié qui vous est adjacent est touché par une attaque. Effet : l'allié bénéficie d'un bonus de pouvoir à toutes les défenses égal au bonus d'altération de l'amulette jusqu'au début de votre tour de jeu suivant.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Cou;"";"";3, 8, 13, 18, 23, 28
Amulette de l'irréductible;Cette magnifique amulette incrustée de rubis qui luisent quand on l'utilise démontre que certains héros ne s'avouent jamais vaincus.;Réflexes, Vigueur et Volonté;"";Quotidien ♦ guérison. Interruption immédiate. Utilisez ce pouvoir lorsque vous tombez à 0 points de vie (ou moins). Dépensez autant de récupérations que vous le souhaitez et regagnez les points de vies correspondants.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";29
Amulette de l'opossum;Lorsque vous êtes grièvement blessé, cette amulette enraye le flot de sang pour vous éviter la mort.;Réflexes, Vigueur et Volonté;"";Quotidien : aucune. Déclencheur : une attaque vous réduit à 0 point de vie ou moins. Effet : vous êtes en fait réduit à 1 point de vie et vous vous retrouvez à terre. Les ennemis pensent que vous avez été réduit à 0 point de vie, et vous disposez d'un camouflage totale contre eux jusqu'à la fin de votre tour de jeu suivant.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Cou;"";"";23, 28
Amulette de la voix intérieure;Ce diamant limpide vous aide à surmonter les tentatives de coercition mentale.;Réflexes, Vigueur et Volonté;Vous bénéficiez d'un bonus d'objet de +2 aux jets de sauvegarde contre les effets accompagnés des mots-clés charme ou terreur.;Quotidien: interruption immédiate. Utilisez ce pouvoir lorsqu'on vous domine par un effet qu'une sauvegarde est en mesure d'annuler. Effectuez alors un jet de sauvegarde contre l'effet. En cas d’échec, vous ne perdez pas l'usage de ce pouvoir et cela n'affecte pas le nombre de pouvoirs quotidiens d'objets magique que vous êtes en droit d'utiliser chaque jour.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";14, 19, 24, 29
Amulette de protection;Cette amulette bleu clair améliore vos défenses.;Réflexes, Vigueur et Volonté;"";"";"";Manuel des Joueurs 1;uncommon;"";"";Cou;"";"";1, 6, 11, 16, 21, 26
Amulette de résolution;Le cristal serti dans cette amulette favorise votre concentration.;Réflexes, Vigueur et Volonté;"";Quotidien: interruption immédiate. Utilisez ce pouvoir lorsque vous êtes hébété ou étourdi par une attaque. Effectuez un jet de sauvegarde contre l'état préjudiciable en question. En cas d'échec, vous ne perdez pas l'usage de ce pouvoir et cela n'affecte pas le nombre de pouvoirs quotidiens d'objets magiques que vous êtes en droit d'utiliser chaque jour.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";8, 13, 18, 23, 28
Amulette de robustesse;Cette amulette saisissante vous protège contre les effets délétères sur la plan physique;Réflexes, Vigueur et Volonté;Vous bénéficiez d'un bonus d'objet de +2 aux jets de sauvegarde contre les effets accompagnés du mot-clé poison et ceux qui vous affaiblissent, vous ralentissent ou vous immobilisent.;"";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";2, 7, 12, 17, 22, 27
Amulette de santé;Cette amulette en or améliore vos défenses ainsi que votre résistance au poison.;Réflexes, Vigueur et Volonté;Vous bénéficiez d'une résistance au poison 5.<br>Niveau 13 ou 18 : résistance au poison 10.<br>Niveau 23 ou 28 : résistance au poison 15.;"";"";Manuel des Joueurs 1;uncommon;"";"";Cou;"";"";3, 8, 13, 18, 23, 28
Amulette de ténèbres matérielles;Les ombres s'accumulent autour du porteur de cette amulette d'onyx.;Réflexes, Vigueur et Volonté;Tant que vous êtes dans une zone faiblement éclairée ou plongée dans l'obscurité, on considère que vous disposez d'un abri contre les attaques à distance et de zone. Cette propriété s'applique même contre les attaquants capable de vous voir normalement ou qui ignorent les malus habituels liés au camouflage.;"";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";18, 23, 28
Amulette de vent porteur;Cette amulette orange réduit les dégâts dus à une chute.;Réflexes, Vigueur et Volonté;Lorsque vous tombez, réduisez la distance de chute de 3 mètres par point de bonus d'altération (-3 mètre pour une amulette +1, -6 mètres pour une amulette +2, etc.) pour ce qui est de calculer les dégâts. Vous retombez toujours sur vos pieds après la chute.;"";"";Manuel des Joueurs 1;uncommon;"";"";Cou;"";"";3, 8, 13, 18, 23, 28
Amulette de vigilance;Cette petite amulette est gravée d'un œil qui affûte vos sens.;Réflexes, Vigueur et Volonté;Vous bénéficiez aux test de Perception d'un bonus d'objet égal au bonus d'altération de l'amulette.;Quotidien: action mineure. Jusqu'à la fin de la rencontre, les ennemis ne bénéficient pas de l'habituel bonus de +2 aux jets d'attaque lorsqu'ils jouissent d'un avantage de combat contre vous. Ils profitent toutefois des autres bénéfices de l'avantage de combat.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";3, 8, 13, 18, 23, 28
Amulette de vigueur;Cette amulette d'argent est gravée sur son revers d'une prière qui confère santé et guérison.;Réflexes, Vigueur et Volonté;Votre valeur de récupération augmente d'un nombre égal au bonus d'altération de l'amulette -1.;Quotidien ♦ guérison : action libre. Déclencheur : vous dépensez une récupération pour regagnez des points de vie. Effet : vous regagnez des points de vie supplémentaires comme si vous aviez dépensé une autre récupération.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Cou;"";"";9, 14, 19, 24, 29
Amulette démonique;Cette simple amulette est faite d'une cordelette enroulée autour d'un os ou d'une corne de démon.;Réflexes, Vigueur et Volonté;"";Quotidien : action mineure. Choisissez parmi acide, électricité, feu, froid ou tonnerre. Vous bénéficiez d'une résistance 10 au type de dégâts choisi jusqu'à la fin de la rencontre.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Cou;"";"";14, 19, 24, 29
Amulette du dragon;Cette magnifique amulette en forme de dragon ornementée de runes draconique est très prisée des drakéides.;Réflexes, Vigueur et Volonté;Si vous êtes drakéide, vous bénéficiez d'une résistance 10 au type de dégâts correspondant à votre pouvoir Souffle de dragon. Quand vous utilisez votre pouvoir Souffle de dragon, la résistance passe à 20 jusqu'à la fin de votre tour de jeu suivant.<br>Niveau 24: résistance 15, résistance 30 après Souffle de dragon.<br>Niveau 29: résistance 20, résistance 40 après Souffle de dragon;Quotidien: réaction immédiate. Utilisez ce pouvoir lorsque vous vous retrouvez en péril. Si vous disposez du pouvoir Souffle de dragon, vous pouvez l'utiliser même si vous l'avez déjà dépensé pour la rencontre en cours.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";19, 24, 29
Amulette du médecin;Cette amulette aide les guérisseurs à refermer les blessures.;Réflexes, Vigueur et Volonté;Vous bénéficiez d'un bonus d'objet aux tests de Soins égal au bonus d'altération de l'amulette.<br>Lorsque vous utilisez un pouvoir de guérison sur un allié ou réussissez un test de Soins pour administrer les premiers secours à un allié, cet allié effectue également un jet de sauvegarde contre un effet de dégâts continus.;"";"";Le Comptoir de l'Aventure 2;uncommon;"";"";Cou;"";"";9, 14, 19, 24, 29
Anneau bélier;Cet anneau en fer a été ciselé à l'image d'une tête de bélier;"";Quand vous poussez une cible, vous pouvez augmenter la distance de ce déplacement forcé de 1 case.;"Quotidien ♦ force : action simple. Effectuez une attaque: distance 10; +21 contre Vigueur; en cas de réussite, la cible suit 3d10 dégâts de force et est poussée de 1 case (cette distance peut être accrue avec la propriété de l'anneau). A la place, vous pouvez également utiliser ce pouvoir pour effectuer une attaque de Force, dans le but d'enfoncer une porte ou briser un objet (même bonus à l'attaque).<br>  Si vous avez atteint au moins une étape dans la journée, une réussite inflige 5d10 dégâts de force et pousse la cible de 3 cases (cette distance peut être accrue avec la propriété de l'anneau).";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";18
Anneau chéri;Vous et vos discours êtes beaucoup plus convaincants lorsque vous portez ce simple anneau d'or bruni.;"";Vous bénéficiez d'un bonus d'objet de +2 aux tests de Diplomatie.;"Quotidien ♦ charme: action simple. Effectuez une attaque: distance 10; Charisme contre Volonté, en cas de réussite, la cible se déplace vers vous à sa VD.<br>  Si vous avez atteint au moins une étape dans la journée, la cible doit entreprendre une action de mouvement à chacun de ses tours de jeu pour se déplacer vers vous (sauvegarde annule).";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";14
Anneau d'adaptation;Cet anneau en métal argenté est recouvert de runes originelles qui vous protègent des éléments.;"";Vous bénéficiez d'un bonus d'objet de +5 aux tests d'Endurance visant à supporter un climat extrême.;Quotidien: interruption immédiate. Utilisez ce pouvoir lorsque vous êtes censé subir des dégâts d'acide, électricité, feu , froid ou tonnerre. Vous ne subissez que la moitié des dégâts du type en question jusqu'à la fin de votre tour de jeu suivant.<br>  Si vous avez atteint au moins une étape dans la journée, ce pouvoir dure jusqu'à la fin de la rencontre.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";23
Anneau d'alliance;Cet anneau d'argent est serti d'ornements entremêlés et peut soigner vos alliés.;"";Lorsque vous utilisez votre second souffle, un allié qui vous est adjacent regagne 10 points de vie.;Quotidien ♦ guérison: action mineure. Vous dépensez une récupération mais ne regagnez aucun point de vie. Au lieu de cela, un allié qui vous est adjacent regagne des points de vie égaux à votre valeur de récupération. Si vous avez atteint au moins une étape dans la journée, l'allié regagne des points de vie supplémentaires égaux à votre niveaux.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Anneaux;"";"";15
Anneau d'améthyste des yeux invisibles.;Cet anneau d'améthyste ancien est apprécié des lanceurs de sorts qui cherchent à toucher leur cible indirectement.;"";Vous déterminez la ligne de mire depuis la case que vous occupez ou une case qui vous est adjacente. Vous déterminez l'abri depuis la case que vous occupez comme d'ordinaire.;Quotidien: action mineure. Choisissez une case située dans un rayon de 10 cases. Vous déterminez la ligne de mire depuis cette case jusqu'à la fin de votre tour de jeu suivant.<br>  Si vous avez atteint au moins une étape dans la journée, vous gagnez également la vision dans le noir jusqu'à la fin de votre tour de jeu suivant.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";19
Anneau d'annulation;Conçu dans un métal aussi noir qu'une nuit sans étoiles, cet anneau vous permet de contrer les attaques vous visant.;"";Vous bénéficiez d 'un bonus d'objet de +3 aux jets de sauvegarde.;Quotidien: interruption immédiate. Utilisez ce pouvoir lorsqu'une attaque est censée vous toucher. Vous bénéficiez maintenant d'un bonus de pouvoir de +6 à toutes les défenses contre cette attaque. Si elle vous inflige un coup critique, ce dernier est considéré comme une réussite normale.<br>  Si vous avez atteint au moins une étape dans la journée, l'attaque vous rate automatiquement et ne vous inflige pas de dégâts.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";30
Anneau d'aplomb intuitif;Cet anneau est fait de force sculptée et il lui arrive de fredonner dans votre tête.;"";Vous bénéficiez d'un bonus d'objet de +2 en Volonté.;Quotidien ♦ psychique: réaction immédiate.Déclencheur : un ennemi vous touche avec une attaque qui vie la Volonté.Effet : l'ennemi en question subit 1d10 dégâts psychiques continus (sauvegarde annule). Si vous avez atteint au moins une étape dans la journée, l'ennemi en question subit en fait 15 dégâts psychiques continus (sauvegarde annule).;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Anneaux;"";"";26
Anneau d'appel;Cet anneau en mitral vous rapproche d'un allié en cas de besoin.;"";Quand un allié qui vous est adjacent utilise un pouvoir de téléportation, il peut augmenter la distance de celle-ci de 4 cases.;Quotidien ♦ téléportation : action mineure. Choisissez un allié situé dans un rayon de 20 cases et dans votre ligne de mire. Celui-ci est aussitôt téléporté dans une case inoccupée qui vous est adjacente.<br>Si vous avez atteint au moins une étape dans la journée, c'est vous qui êtes en mesure de vous téléporter vers une case adjacente à un allié situé dans un rayon de 20 cases.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";14
Anneau d'effroi;Cet anneau en fer renforce les craintes de vos ennemis et réduit leurs défenses.;"";Vous bénéficiez d'un bonus d'objet de +2 aux tests d'Intimidation.;Quotidien ♦ terreur : action simple. Effectuez un test d'Intimidation contre un ennemi situé dans un rayon de 5 cases et comparez le résultat à chacune de ses défenses (CA, Vigueur, Réflexes et Volonté). La cible subit un malus de -2 à chaque défense que dépasse ou égale le résultat de votre test (sauvegarde annule).<br>Si vous avez atteint au moins une étape dans la journée, la cible doit effectuer un jet de sauvegarde distinct pour chaque défense frappée d'un malus.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";18
Anneau d'embrasement;Des flammes jaillissent de la main qui porte cet anneau d'acier rouge.;"";Au prix d'une action simple, vous touchez un objet combustible non porté (tissu, huile, papier, petit bois, torche, etc.) qui prend feu.;"Quotidien ♦ feu: action simple. Effectuez une attaque: décharge de proximité 3; Constitution +4 ou Charisme +4 contre Réflexes; en cas de réussite, la cible subit 1d10 + modificateur de Constitution ou Charisme dégâts de feu et 5 dégâts de feu continus (sauvegarde annule); en cas d'échec, la cible ne subit que des demi-dégâts et pas de dégâts continus.<br>  SI vous avez atteint au moins une étape dans la journée, une réussite inflige 1d10 + modificateur de Constitution ou de Charisme dégâts de feu et 10 dégâts continus (sauvegarde annule). En cas d'échec, la cible ne subit que des demi-dégâts et 5 dégâts de feu continus (sauvegarde annule).";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";14
Anneau d'entente;Ces anneaux de cuivre se partagent entre ceux qui travaillent de concert.;"";Une fois par round, lorsque vous vous sauvegardez, un allié situé dans un rayon de 5 cases qui porte lui aussi un anneau d'entente peut effectuer un jet de sauvegarde.;Quotidien: action mineure. Un allié situé dans un rayon de 10 cases peut effecteur un jet de sauvegarde. S'il porte lui aussi un anneau d'entente, il bénéficie d'un bonus de pouvoir de +2 au jet de sauvegarde.<br>Si vous avez atteint au moins une étape dans la journée, vous pouvez au lieu de cela utilisez ce pouvoir pour conférer à un allié situé dans un rayon de 10 cases qui porte lui aussi un anneau d'entente un jet de sauvegarde (assortie du bonus de pouvoir de +2) contre chaque effet dont il est victime et qu'une sauvegarde est en mesure d'annuler.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Anneaux;"";"";15
Anneau d'influence;Cet anneau en or blanc orné d'un saphir vous permet de peser sur l'esprit d'autrui.;"";Vous bénéficiez d'un bonus d'objet de +2 aux test de compétence et tests de caractéristiques associés au Charisme.;Quotidien: action mineure. Jusqu'à la fin de votre tour de jeu suivant. Vous bénéficiez d'un bonus de pouvoir de +2 aux jets d'attaque contre la Volonté.<br>Si vous avez atteint au moins une étape dans la journée, le bonus aux jets d'attaque passe à +4;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Anneaux;"";"";21
Anneau d'information arcanique;Cet anneau vous aide à discerner la nature des phénomènes arcaniques.;"";Vous bénéficiez d'un bonus d'objet de +5 aux tests d'Arcanes effectués pour détecter la magie.;Quotidien: action mineure. Vous détectez la magie sur un rayon de 20 cases et vous pouvez ignorer toute source d'énergie magique dont vous êtes déjà conscient. Vous ignorez également les obstacles et vous pouvez donc détecter la magie au travers des murs, portes, etc.<br>  Si vous avez atteint au moins une étape dans la journée, vous découvrez également le nom, la source du pouvoir et les mots-clefs des effets magiques de la zone;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";17
Anneau d'intuition héroïque;Lorsque vous portez cet anneau en adamantium strié, vous saisissez plus facilement les points faibles mentaux, physiques et sociaux de vos adversaires.;"";Vous bénéficiez d'un bonus d'objet de +3 aux tests d'Intuition.;Quotidien: action mineure. Choisissez une cible. Vous bénéficiez d'un bonus de pouvoir de +2 aux jets d'attaque et d'un bonus de pouvoir de +6 aux jets de dégâts contre la cible jusqu'à la fin de votre tour de jeu suivant. Si la cible est un objet, appliquez au lieu de cela un bonus de pouvoir de +6 aux test de Force visant à le briser.<br>Si vous avez atteint au moins une étape dans la journée, vous bénéficiez au lieu de cela d'un bonus de pouvoir de +3 aux jets d'attaque et d'un bonus de pouvoir de +8 aux jets de dégâts ou tests de Force visant à briser un objet.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";21
Anneau d'invisibilité;Cet anneau d'or porte des runes elfiques finement gravées.;"";Vous bénéficiez d'un bonus d'objets de +2 aux tests de Discrétion.;Quotidien ♦ illusion : action simple. Vous devenez invisible jusqu'à la fin de votre tour de jeu suivant. Si vous avez atteint au moins une étape dans la journée, l'utilisation de ce pouvoir ne vous demande qu'une action mineure.;"";Manuel des Joueurs 1;uncommon;"";"";Anneaux;"";"";18
Anneau d'ombre;Cet anneau d'obsidienne cendré vous enveloppe d'ombres, si bien qu'il est difficile de vous discerner.;"";Vous bénéficiez d'un camouflage.;Quotidien: action mineure. Vous bénéficiez d'un camouflage total jusqu'à la fin de votre tour de jeu suivant.<br>Si vous avez atteint au moins une étape dans la journée, cet avantage dure jusqu'à la fin de la rencontre.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";27
Anneau d'opale étoilée;Cet anneau noir s'orne d'une opale étoilée qui luit doucement.;"";Vous bénéficiez d'un bonus de +1 en vitesse de déplacement.;"Quotidien ♦ radiant, téléportation : action de mouvement. Vous vous téléportez à hauteur de 10 cases. Si vous avez atteint au moins une étape dans la journée, une brillante explosion éclate dans votre case de départ après que vous vous êtes téléporté : explosion de proximité 3; attaque de Charisme (avec un bonus +5) contre Réflexes; 4d8 + modificateur de Charisme dégâts radiants (moitié en cas d'échec).";"";Manuel des Joueurs 1;uncommon;"";"";Anneaux;"";"";26
Anneau de caméléon;Cet anneau en peau de lézard est à peine visible une fois passé au doigt et vous camoufle d'une certaine façon.;"";Vous bénéficiez d'un bonus d'objet de +2 aux tests de Discrétion, voire d'un bonus de +4 si vous ne vous êtes pas déplacé depuis le début de votre dernier tour de jeu.;Quotidien: action mineure. Il ne vous est pas nécessaire de disposer d'un abri ou d'un camouflage pour effectuer des tests de Discrétion jusqu'à la fin de votre tour de jeu suivant.<br>Si vous avez atteint au moins une étape dans la journée,ce pouvoir dure jusqu'à la fin de la rencontre.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";16
Anneau de capacité aquatique;Lorsque vous portez cet anneau serti d'aigues-marines, vous n'avez aucun mal à respirer et à vous déplacer sous l'eau.;"";Vous gagnez une VD à la nage égale à votre VD. De plus, vous respirez sous l'eau.<br>Si vous avez atteint au moins une étape dans la journée, vous gagnez une VD à la nage égale au double de votre VD.;"";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";15
Anneau de clignotement;Cet anneau en adamantium passe de doigt en doigt, un peu comme vous qui changez constamment de place lorsque vous le portez.;"";Vous bénéficiez d'un bonus d'objet de +3 aux test de Larcin.;Quotidien ♦ téléportation: action mineure. Téléportez-vous de 1d4 cases.<br>Maintien (mineure): vous vous téléportez de 1d4 cases au début de votre tour de jeu.<br>Si vous avez atteint au moins une étape dans la journée, il ne vous est pas nécessaire d'entreprendre une action mineure pour maintenir l'effet de l'objet.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";22
Anneau de connaissance;Serti de tourmalines, cet anneau d’électrums vous renforce sur le plan spirituel.;"";Vous bénéficiez d'un bonus d'objet de +1 aux jets de sauvegarde contre les effets préjudiciables accompagnés des mots-clés charme, illusion, psychique ou terreur.;Quotidien: action mineure. Vous bénéficiez d'un bonus de pouvoir de +5 aux jets de sauvegarde contre les effets préjudiciables accompagnés des mots-clés charme, illusion, psychique ou terreur jusqu'à la fin de la rencontre.<br>Si vous avez atteint au moins une étape dans la journée, vous bénéficiez d'un bonus de pouvoir d e+2 en Volonté contre les pouvoirs accompagnés de ces mots-clés.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";16
Anneau de contact oublieux;Cet anneau de cuivre quelconque vous rend beaucoup plus convaincant et efface même temporairement les souvenirs de la cible sans qu'elle s'en rendre compte.;"";Vous bénéficiez d'un bonus d'objet de +1 aux tests de Bluff;"Quotidien ♦ charme: action simple. Effectuez une attaque de corps à corps 1; Dextérité +4 contre Volonté; en cas de réussite, la cible oublie tout ce qui s'est passé durant la minute écoulée et est surprise jusqu'à la fin de votre tour de jeu suivant.<br>Si vous avez atteint au moins une étape dans la journée, le sujet ne remarque même pas sa perte de mémoire et ne la recouvre pas avant 1 minute.";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Anneaux;"";"";16
