"Titre";"Catégorie de talents";"Aptitude";"Aptitude raciale";"Talent";"Pouvoir";"Autre prérequis";"Compétences";"Classe";"Race";"Avantage";"Stats";"Source";"Errata"
"Agilité des bois";"Héroïque";;;;;;;;"Elfe";"Lorsque vous effectuez un test d'Acrobaties ou d'Athlétisme, un résultat de 2-7 compte comme un 8. Toutefois, un 1 naturel reste un 1.Spécial : vous ne pouvez pas prendre ce talent si vous avez déjà le talent Chance de l'elfe sauvage.";;"Royaume Oubliés";"Aucun"
"Agilité du Féral";"Héroïque";;;;;;;;"Féral griffe-effilée, Féral longue-dent";"Lorsque vous utilisez votre pouvoir racial de féral, vous bénéficiez d'un bonus de talent de +5 aux test d'Acrobaties et d'Athlétismes jusqu'à ce qu'il prenne fin.";;"Eberron";"Aucun"
"Agilité sans armure";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de talent de +2 à la CA quand vous portez une armure d'étoffe ou pas d'armure du tout.";;"Manuel des Joueurs 3";"Aucun"
"Alchimiste";"Héroïque";;;;;;;;;"Vous pouvez produire des objets alchimiques d'un niveau inférieur ou égal au vôtre. Vous devez avoir la formule correcte et la compétence appropriée.Spécial : Vous pouvez prendre ce talent à la place du talent lanceur de rituels que vous confère votre aptitude de classe.";;"Eberron";"Aucun"
"Allégresse fortuite";"Parangonique";"Manteau d'allégresse";;;;;;"Flamboyant";;"Chaque fois qu'un allié situé dans le rayon de votre manteau d'allégresse réussit un jet de sauvegarde, il bénéficie d'un bonus de +1 aux jets d'attaque jusqu'à la fin de son tour de jeu suivant.";;"Manuel des Joueurs 3";"Aucun"
"Ambassadeur des esprits";"Héroïque";;;;;;;"Shaman";;"Quand vous utilisez communication avec les esprits, vous pouvez conférer l’effet du pouvoir situé à un allié dans un rayon de 5 cases de vous plutôt qu’à vous même.";;"Manuel des Joueurs 2";"Aucun"
"Ambassadeur des esprits demi-elfe";"Héroïque";;;;;;;"Barbare, Druide, Gardien, Limier, Shaman";"Demi-elfe";"La première fois que vous êtes en péril au cours d'une rencontre, vous et chaque allié dans un rayon de 10 cases bénéficiez d'un bonus de +1 à toutes les défenses jusqu'à la fin fin de votre tour de jeu suivant. De plus,  les alliés dans un rayon de 10 cases bénéficient d'un bonus racial de +1 aux tests d’Intuition et de Nature.";;"Force de la Nature";"Aucun"
"Âme draconique supérieure";"Héroïque";"Magie draconique";;;;;;"Ensorceleur";;"La valeur de résistance que vous confère votre âme draconique augmente de 2.Au niveau 11, cette augmentation passe à 5, au niveau 21, elle passe à 10.";;"Manuel des Joueurs 2";"Aucun"
"Âme du vrai dragon";"Héroïque";"Magie draconique";;;;;;"Ensorceleur";"Drakéide";"La première fois que vous êtes en péril au cours d'une rencontre, vous bénéficiez d'un bonus de +1 aux Réflexes, à la Vigueur et à la Volonté jusqu'à la fin de la rencontre.";;"Secret des Arcanes";"Aucun"
"Âme gravée de runes";"Héroïque";;;;;;;"Ensorceleur, Façonneur, Mage d’armes, Magicien, Sorcier";"Nain";"Lorsque vous utilisez second souffle, vous bénéficiez d'un bonus de +1 à vos jets d'attaque et d'un bonus à vos jets de dégâts égal à votre modificateur de Constitution pour les pouvoirs arcaniques que vous utilisez avant la fin de votre prochain tour de jeu.";;"Secret des Arcanes";"Aucun"
"Âme protectrice";"Héroïque";"Source des sorts";;;;;;"Ensorceleur";"Demi-elfe";"Tous les alliés qui vous sont adjacents bénéficient de toutes les résistances conférées par votre source des sorts.";;"Secret des Arcanes";"Aucun"
"Aplomb d'Ioun";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquer le pouvoir de votre dieu pour utiliser Aplomb d’Ioun.";;"Manuel des Joueurs 1";"Aucun"
"Appel du protecteur";"Héroïque";"Alliance protectrice";;;;;;"Invocateur";"Kalashtar";"Lorsque vous utilisez un pouvoir d’attaque divin quotidien au tour de votre tour, vous pouvez tirer chaque allié dans un rayon de 5 cases de vous d’une case au lieu d’utiliser l’avantage normal lié à la manifestation de votre alliance.";;"Intervention Divine";"Aucun"
"Appel soudain";"Héroïque";;;;;;;"Shaman";;"Une fois par rencontre, vous pouvez utiliser appel de compagnon spirituel au prix d'une action libre à votre tour de jeu.";;"Force de la Nature";"01/2013"
"Apprentissage";"Héroïque";;;;;;;;;"Vous bénéficiez d’une formation dans une compétence qui n’apparaît pas forcément sur votre liste de compétence de classe.Spécial : vous pouvez prendre ce talent plusieurs fois, en choisissant une compétence pour laquelle vous n’êtes pas formé à chaque fois.";;"Manuel des Joueurs 1";"Aucun"
"Approbation divine";"Héroïque";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";"Humain";"Lorsque vous utilisez votre pouvoir de Conduit divin, vous pouvez aussi effectuez un jet de sauvegarde au prix d’une action libre.";;"Intervention Divine";"Aucun"
"Araignée venimeuse";"Héroïque";"Maîtrise des bêtes";;;;;;"Rôdeur";;"(Araignée) Votre compagnon bestial bénéficie d'un bonus de +2 aux jets de sauvegarde. Quand votre compagnon bestial agit indépendamment, il n'est pas obligé de vous être adjacent, mais il doit rester dans un rayon de 10 cases. En outre, s'il touche une créature avec une attaque de base de corps à corps, celle-ci est ralentie jusqu'à la fin de son tour de jeu suivant et subit un malus de -2 à son prochain jet d'attaque internant avant la fin de son prochain tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Arc électrique";"Parangonique";;;;;;;;;"Lorsque vous réussissez un coup critique avec un pouvoir accompagnés du mot-clé électricité, vous pouvez considérer l'attaque comme une réussite normale et non comme un coup critique. Dans ce cas, choisissez une autre cible située dans un rayon de 10 cases de la cible initiale du pouvoir qui n'est pas déjà visée ou affecté par le pouvoir.Cette cible subit des dégâts égaux à ceux infligés à la cible initiale.";;"Manuel des Joueurs 1";"Aucun"
"Arcaniste d'Aërénal";"Héroïque";;;;;"Originaire d'Aërénal";;"Barde, Ensorceleur, Façonneur, Mage Lames, Magicien, Sorcier";"Elfe";"Choisissez un pouvoir utilitaire arcanique de chaque niveau que vous connaissez. Chaque fois que vous atteignez un nouveau niveau de pouvoirs utilitaires arcaniques, vous apprenez un pouvoir utilitaire supplémentaire de ce niveau. En d'autres termes, connaissez deux pouvoirs utilitaires arcaniques de chaque niveau, mais ne pouvez en utilisez qu'un des deux chaque jour. Après un repos prolongé, à vous de de choisir le pouvoir utilitaire arcanique de chaque niveau que vous pourrez utiliser dans la journée. Ce talent ne change donc pas le nombre de pouvoir utilitaires arcaniques que vous pouvez utiliser chaque jour. Si vous avez l'aptitude de classe de grimoire, le pouvoir utilitaire arcanique que vous gagnez grâce à ce talent vient en plus de celui qu'elle vous confère.";;"Eberron";"Aucun"
"Archer de canopée";"Héroïque";;;;;;;"Voleur";"Elfe";"Vous pouvez utiliser n'importe quel arc avec l'attaque sournoise, ainsi qu'avec tout pouvoir de voleur exigeant normalement une arbalète.";;"Art de la Guerre 2";"Aucun"
"Archer opportuniste";"Parangonique";"Défi en combat";;;;;;"Guerrier";"Elfe";"Lorsque vous avez droit à une attaque de base de corps à corps contre une cible en raison de défi en combat, vous pouvez au lieu de cela lui porter une attaque de base à distance avec un arc. Cette attaque de base à distance ne provoque pas d'attaques d'opportunité.";;"Art de la Guerre 1";"Aucun"
"Ardeur absolue";"Parangonique";;;;;;;;;"Lorsque une attaque de zone ou de proximité visant votre Vigueur ou votre Volonté vous rate mais inflige tout de même des dégâts sur un échec, vous ne subissez aucun dégât de l'attaque.";;"Manuel des Joueurs 1";"Aucun"
"Ardeur sanguinaire supérieur";"Héroïque";"Ardeur sanguinaire";;;;;;"Barbare";;"Votre ardeur sanguinaire vous fait gagnez 5 points de vie temporaires supplémentaires.";;"Manuel des Joueurs 2";"Aucun"
"Arme de prédilection";"Héroïque";;;;;;;;;"Choisissez un groupe d’arme, comme les lances ou les lames lourdes. Vous bénéficiez d’un bonus de talent de +1 aux jets de dégâts des attaques d'armes avec les armes de ce groupe. Au niveau 11, ce bonus passe à +2, au niveau 21, il passe à +3.Spécial : vous pouvez prendre ce talent plusieurs fois, en choisissant un groupe d’arme différent à chaque fois.";;"Manuel des Joueurs 1";"01/2013"
"Arme en main";"Héroïque";;;;;;;;;"Vous pouvez dégainez une arme dans le cadre de l’action entreprise pour attaquer avec celle-ci (ou sortir un objet rangé dans une sacoche de ceinture, une bandoulière ou un objet similaire, dans le cadre de l’action entreprise pour l’utiliser). Vous bénéficiez également d’un bonus de talent de +2 aux tests d’initiative.";"Dex 13";"Manuel des Joueurs 1";"Aucun"
"Arme lancée";"Héroïque";;;;;;;"Barbare";;"Vous pouvez utiliser n'importe quel arme secondaire à une main comme une arme de jet lourde. La portée normale pour les armes que vous maniez ainsi est de 5 cases, et la portée longue est de 10 cases.";;"Force de la Nature";"Aucun"
"Arme magique précise";"Héroïque";;;;;;;"Façonneur";;"Quand vous utilisez un pouvoir de faconneur qui vise une arme ou un focaliseur, le prochain jet d'attaque effectué avec cette arme ou ce focaliseur bénéficie d'un +1 s'il est effectué avant la fin de la rencontre.";;"Eberron";"Aucun"
"Armure de Bahamut";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquer le pouvoir de votre dieu pour utiliser Armure de Bahamut.";;"Manuel des Joueurs 1";"Aucun"
"Armure de colère flamboyante";"Héroïque";"Alliance de colère";;;;;;"Invocateur";;"Votre pouvoir armure de colère inflige des dégâts de feu et radiants et acquiert le mot-clé feu. La cible de votre armure de colère subit un malus de -1 au jet de sauvegarde jusqu'à la fin de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Armure de la foi supérieure";"Héroïque";"Armure de la foi";;;;;;"Vengeur";;"Vous bénéficiez d’un bonus de +1 à la CA lorsque vous portez une armure d'étoffe ou que vous ne portez ni armure ni boucliez.";;"Manuel des Joueurs 2";"01/2013"
"Armure de vengeance";"Héroïque";"Censure rétributive";;;"Serment d'inimitié";;;"Vengeur";;"ennemi adjacent effectue une attaque de corps à corps contre votre compagnon bestial, il provoque une attaque d'opportunité de votre part. Si vous êtes adjacent à votre compagnon bestial, vous pouvez effectuer cette attaque même si l'attaquant ne se situe pas à portée d'allonge (on imagine par exemple que vous attaquez la partie de son corps qui porte jusqu'à votre compagnon).";;"Intervention Divine";"Aucun"
"Arrogance draconnique";"Parangonique";;;;;;;"Guerrier";"Drakéide";"Lorsque vous poussez un ennemi ou le mettez à terre, vous lui infligez des dégâts égaux à votre modificateur de force.";;"Art de la Guerre 1";"Aucun"
"Arsenal polyvalent";"Héroïque";"Catégorie d'arme favorite";;;;;;"Guerrier";"Humain";"Vous profitez de votre aptitude de classe de catégorie d'armes favorite avec les armes à une mains et les armes à deux mains.";;"Art de la Guerre 2";"Aucun"
"Artificier nain";"Héroïque";;;;;;;"Voleur";"Nain";"Vous bénéficiez d'un bonus de talent de +14 aux tests de Perception visant à trouver les pièges et aux tests de Larcin visant à crocheter les serrures ou désamorcer les pièges.";;"Art de la Guerre 1";"Aucun"
"Artisan de Gond";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser artisan de Gond.";;"Royaume Oubliés";"Aucun"
"Aspect de la nature supérieur";"Héroïque";;"Aspect de la nature";;;;;;"Silvyen";"Quand vous utilisez votre pouvoir racial Voyage des anciens, vous pouvez vous téléportez de 2 cases supplémentaires. Vous bénéficiez d'un bonus de +2 au jet d'attaque conféré par votre pouvoir racial Courroux du destructeur.  Quand vous utilisez votre pouvoir racial Poursuite du chasseur, vous pouvez vous décalez de 2 cases supplémentaires.";;"Manuel des Joueurs 3";"Aucun"
"Aspect du cultivateur";"Parangonique";;"Aspect de la nature";;;;;;"Silvyen";"Remplacer une des options de votre aspect de la nature par l'aspect du cultivateur. Vous pouvez utiliser le pouvoir Baume du cultivateur quand vous adopter cet aspect.Spécial: cf. MdJ3, p184, pouvoir racial Baume du cultivateur.";;"Manuel des Joueurs 3";"Aucun"
"Assaillant inspiré";"Héroïque";"Parole inspiratrice";;;;;;"Maître de Guerre";;"La cible de votre parole inspiratrice regagne des points de vie supplémentaires «égaux à votre modificateur de Force si elle est adjacente à un ennemi que vous avez touché à ce tour de jeu.";;"Art de la Guerre 2";"Aucun"
"Assassin ensorcelé";"Héroïque";;;;;;;"Ensorceleur";"Drow";"Lorsque vous jouissez de l'avantage de combat contre une cible, vous bénéficiez d'un bonus de talent de +2 aux jets de dégâts contre cette cible si vous utilisez des pouvoirs d'ensorceleur qui ont le mot-clé poison ou le mot-clé psychique. Ce bonus passe à +4 au niveau 11 et à 6 au niveau 21. Vous bénéficiez également d'un bonus de talent de +1 aux tests de Discrétion.";;"Secret des Arcanes";"Aucun"
"Assaut ciblé";"Héroïque";;;;;;;"Barbare";;"Vous bénéficiez d'un bonus de +2 aux jets d'attaque contre n'importe quel créature qui vous a marqué.";;"Force de la Nature";"01/2013"
"Assaut d'inimitié";"Parangonique";;;;"Serment d'inimitié";;;"Vengeur";;"Quand vous utilisez serment d'inimitié, vous pouvez vous rapprocher de la cible en vous décalant de deux cases au prix d'une action libre.";;"Manuel des Joueurs 2";"Aucun"
"Assaut de groupe";"Héroïque";;;;;;;"Guerrier";"Demi-elfe";"Vos alliés bénéficient d'un +1 aux jets de dégâts contre les cibles que vous avez marquées.";;"Art de la Guerre 1";"Aucun"
"Assaut divin";"Héroïque";;;;;;;"Paladin";"Demi-orque";"Lorsque vous utilisez votre pouvoir racial assaut furieux, un allié dans un rayon de 5 cases de vous bénéficie d’un bonus égal à votre modificateur de force à ses jets de dégâts de corps à corps contre la cible jusqu’au début de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Assaut élémentaire";"Héroïque";"Égide offensive";;;;;;"Mage d’armes";;"Lorsque vous effectuez une attaque de base de corps à corps que vous confère votre égide offensive, vous bénéficiez d'un bonus de +3 aux dégâts d'un type basé sur votre manifestation élémentaire en cours.Ame d'eau : acideAme de feu : feuAme d'orage : tonnerreAme de terre : forceAme de vent : froidSi vous manifestez plusieurs éléments à la fois, choisissez un type de dégâts au moment où vous effectuez l'attaque.";;"Royaume Oubliés";"Aucun"
"Assaut féroce";"Héroïque";;;;;;;;"Demi-orque";"Quand vous utilisez votre pouvoir racial assaut enragé, l’ennemi que vous touchez subit également un malus de -1 à toutes ses défenses jusqu’à la fin de votre tour de jeu suivant.";;"Manuel des Joueurs 2";"Aucun"
"Assaut implacable";"Parangonique";;;;;;;;"Demi-orque";"Vous pouvez utiliser votre pouvoir racial assaut enragé quand une de vos attaques échoue. Dans ce cas, l'attaque inflige 1[A] dégâts si c'est une attaque ayant le mot-clé arme ou 1d10 dégâts sinon.";;"Manuel des Joueurs 2";"Aucun"
"Assaut rapide";"Héroïque";;;;;;;;;"A votre premier tour de jeu à chaque rencontre, vous bénéficiez d'un bonus de +2 aux jets de dégâts des attaques de corps à corps. Ce bonus passe à +4 au niveau 11, et à +6 au niveau 21.";;"Manuel des Joueurs 3";"Aucun"
"Assaut redoutable";"Parangonique";;;;;;;"Rôdeur";"Demi-orque";"Lorsque vous touchez deux créatures avec une même attaque, vous pouvez utiliser votre pouvoir racial assaut enragé pour infliger les dégâts supplémentaires du pouvoir aux deux créatures.";;"Art de la Guerre 2";"Aucun"
"Assaut tactique";"Héroïque";"Présence tactique";;;;;;"Maître de Guerre";;"Lorsqu’un allié qui est en mesure de vous voir dépensé un point d’action pour dépenser une attaque, le jet de dégâts de cette attaque bénéficie d’un bonus égal à votre modificateur d’Intelligence.";;"Manuel des Joueurs 1";"Aucun"
"Assaut téméraire";"Parangonique";;;;;;;"Guerrier";;"Lorsque vous réussissez un coup critique avec un pouvoir d'attaque de guerrier, vous pouvez effectuer une attaque de base de corps à corps au prix d'une action libre. Ce faisant, vous subissez un -2 à la CA jusqu'à la fin de votre de jeu suivant.";;"Art de la Guerre 1";"Aucun"
"Assomoir";"Parangonique";"Style du bagarreur";;;;;;"Guerrier";;"Chaque fois que vous utilisez une attaque à mains nues pour effectuer une attaque de base de corps à corps contre une créature et que vous réussissez un coup critique, vous pouvez également hébéter celle-ci jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Astuce martiale";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Lorsque vous entreprenez l’action d’aider quelqu’un lors du jet d’attaque d’arme d’un allié, ce dernier peut lancer deux fois les dés et garder le résultat de son choix. Cet effet remplace le bonus de +2 normalement conféré au jet d’attaque. Un même allié ne peut profiter de ce talent qu’une seule fois par attaque.";;"Art de la Guerre 2";"01/2013"
"Athlète agile";"Parangonique";;;;;;;;;"Lorsque vous effectuez un test d'Acrobaties ou d'Athlétisme, lancez deux fois le dé et gardez le meilleur résultat.";;"Manuel des Joueurs 1";"Aucun"
"Atout infernal";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";"Tieffelin";"Lorsque vous utilisez votre pouvoir racial courroux infernal, si votre prochaine attaque est un pouvoir d'arme martial, elle inflige 1[A] dégâts supplémentaires. Ces dégâts supplémentaires passent à 2[A] au niveau 11 et à 3[A] au niveau 21.";;"Art de la Guerre 2";"Aucun"
"Attaque à mains nues de moine supérieure";"Héroïque";"Combattant à mains nues";;;;;;"Moine";;"Le dé de dégâts de votre attaque à mains nues de moine devient un d10 au lieu d'un d8.";;"Manuel des Joueurs 3";"Aucun"
"Attaque en puissance";"Héroïque";;;;;;;;;"lorsque vous effectuez une attaque de corps à corps, vous pouvez accepter un malus de -2 au jet d’attaque. Si l’attaque touche, vous bénéficiez d’un bonus de +2 au jet de dégâts (ou de +3 avec une arme à deux mains). Ces dégâts supplémentaires augmentent avec votre niveau, comme l’indique la table suivante, mais le malus à l’attaque reste le même.Niveau                     Dégâts supplémentaires (arme à deux mains)     1-10                                          +2 (+3)   11-20                                          +4 (+6)   21-30                                          +6 (+9)";"For 15";"Manuel des Joueurs 1";"Aucun"
"Attaque sournoise du casse-cou";"Héroïque";"Attaque sournoise";;;;;;"Voleur";"Humain";"Lorsque vous infligez des dégâts d'attaque sournoise, vous pouvez choisir de bénéficiez d'un +2 au jet de dégâts. Si tel est le cas, vous donnez un avantage de combat à tous les ennemis jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 1";"Aucun"
"Attaque sournoise infernale";"Parangonique";"Attaque sournoise";;;;;;"Voleur";"Tieffelin";"Si vous infligez des dégâts d'attaque sournoise avec une attaque bénéficiant de votre pouvoir racial courroux infernal, vous infligez un dé supplémentaire de dégâts d'attaque sournoise.";;"Art de la Guerre 1";"Aucun"
"Attaque sournoise opportuniste";"Parangonique";"Attaque sournoise";;;;;;"Voleur";;"Lorsque vous touchez avec une attaque d'opportunité et infligez des dégâts d'attaque sournoise, la cible est ralentie jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 1";"Aucun"
"Attaques réflexes";"Héroïque";;;;;;;;;"Vous bénéficiez d’un bonus de +1 aux jets d’attaque d’opportunité.";"Dex 13";"Manuel des Joueurs 1";"Aucun"
"Attirance vengeresse";"Héroïque";"Censure collective";;;;;;"Vengeur";;"Lorsque vous utilisez lien de censure, augmentez le nombre de cases dont vous pouvez tirer la cible de 2.";;"Intervention Divine";"Aucun"
"Audace du chef";"Héroïque";"Présence intrépide";;;;;;"Maître de Guerre";"Halfelin";"Quand un ennemi jouissant d'un avantage de combat contre vous rate une attaque de corps à corps, vos alliés bénéficient d'un +1 aux jets d'attaque contre lui jusqu'au début de votre tour de jeu suivant.";;"Art de la Guerre 1";"Aucun"
"Autorité féerique";"Héroïque";"Présence tactique";;;;;;"Maître de Guerre";"Éladrin";"Lorsqu'un allié que vous soyez dépense un point d'action pour effectuer une attaque, il peut se téléporter de1 case avant ou après l'attaque.";;"Art de la Guerre 1";"Aucun"
"Avancée du champion tribal";"Parangonique";"Triomphe du champion";;;;;;"Barbare";;"Quand vous utilisez votre pouvoir cri de triomphe pendant que vous êtes enragé, vous pouvez vous décaler d'un nombre de case égal à votre modificateur de Charisme et utilisez votre nouvelle position comme la case d'origine de l'explosion.";;"Manuel des Joueurs 2";"Aucun"
"Avantage de contrôle";"Héroïque";;;;;;;"Psion";;"Quand vous tirez , poussez ou faiits glisser une cible qui vous confère un avantage de combat, vous pouvez augmenter la distance de déplacement forcé de 1 case.";;"Manuel des Joueurs 3";"Aucun"
"Avantage défensif";"Parangonique";;;;;;;;;"Lorsque vous jouissez d'un avantage de combat contre un ennemi, vous bénéficiez d'un bonus de +2 à la CA contre ses attaques.";"Dex 17";"Manuel des Joueurs 1";"Aucun"
"Avantage du chasseur";"Parangonique";"Traque";;;;;;"Rôdeur";"Elfe";"Vous infligez 2 dégâts supplémentaires avec l'aptitude de traque lorsque vous jouissez d'un avantage de combat contre votre proie.";;"Art de la Guerre 1";"Aucun"
"Avantage envoûté";"Héroïque";;;;;;;"Sorcier";"Drow";"Vous gagnez l'avantage de combat contre les ennemis en péril soumis à votre envoûtement.";;"Secret des Arcanes";"Aucun"
"Avantage lointain";"Héroïque";;;;;;;;;"Vous jouissez d’un avantage de combat sur vos attaques à distance ou de zone contre les ennemis pris en tenaille par vos alliés.";;"Manuel des Joueurs 2";"Aucun"
"Avantage opportuniste";"Héroïque";;;;;;;"Voleur";;"Chaque fois que vous touchez avec une attaque d'opportunité ou qu'un ennemi vous rate avec une attaque d'opportunité, l'ennemi concerné vous confère un avantage de combat jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Avantage rapproché";"Héroïque";;;;;;;"Mage d’armes";;"Lorsque vous utilisez un pouvoir d'attaque à distance ou de zone de mage d'armes et touchez un ennemi, vous bénéficiez d'un bonus de +1 à vos jets d'attaque et de dégâts avec vos pouvoirs d'attaque de corps à corps de mage d'arme jusqu'à la fin de votre tour de jeu suivant.";;"Secret des Arcanes";"Aucun"
"Balise de Dol Arrah";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin balise de Dol Arrah.";;"Eberron";"Aucun"
"Barbare élémentaire";"Héroïque";;;;;;;"Barbare";"Genasi";"Lorsque vous utilisez votre pouvoir racial retour de flammes ou promesse d'orages en étant en rage, vous bénéficiez d'un bonus de +2 aux jets d'attaque jusqu'à la fin de votre tour de jeu suivant.";;"Force de la Nature";"Aucun"
"Bastion vigilant";"Héroïque";;;;;;;;;"Quand vous utilisez l'action de défense totale, vous bénéficiez également d'un bonus de +1 aux jets d'attaque jusqu'à la fin de votre tour jeu suivant.";;"Manuel des Joueurs 3";"Aucun"
"Bataillon agile";"Parangonique";"Présence du tirailleur";;;;;;"Maître de guerre";;"Tout allié qui vous est adjacent au début de son tour de jeu bénéficie d'un bonus de talent de +2 à la CA et en Réflexes contre les attaques d'opportunité jusqu'à la fin de son tour de jeu suivant.";"Int 15";"Art de la Guerre 2";"Aucun"
